# lang=ro
cat	floor (storey)
răgaz	leisure, free time
răgaz	rest, pause; quiet, peace
rânză	tripe
sâmbure	pit (of a fruit)
sâmbure	the central, core, or essential part of something
speria	to scare, to frighten
speria	to get scared, have a scare
stână	a summertime settlement of shepherds, consisting of the shepherds' hut, the sheepfold, and the milking area (strungă)
stână	hut (of a shepherd)
stână	sheepfold
stâncă	cliff
strugure	grape
strugure	bunch, cluster (of grapes or otherwise)
sută	(one) hundred
sută	a hundred
șopârlă	lizard
tărăboi	clamor
tărăboi	uproar
țap	he-goat
țap	beer mug
țarc	corral, pen, enclosure
țeapă	stick
țeapă	spike
țeapă	thorn, prick, spine, splinter
țigaie	Romanian sheep breed
țuică	brandy
țuică	type of brandy
țuică	glass of brandy
țurțur	icicle
vatră	fireplace, hearth, fireside
vatră	home, house, dwelling, abode
viezure	badger
zbârli	to get ruffled (feathers etc.)
zbârli	to stand on end (hair)
zbârci	to become wrinkled
zburda	to frolic
zgardă	dog collar
zgură	slag, dross
zgură	scoria
zvăpăiat	naughty
zară	buttermilk
pârâu	stream; creek; brook
licit	lawful
arbitra	to arbitrate
gust	taste
gust	August
atenta	to assault
avizo	advice boat
bani	(money)
blinda	to armor; to reinforce
boli	to ail
bordo	claret
stor	blind, shade (for a window)
pont	tip, hint
pont	cinch
brava	to challenge, defy
bruna	to burnish
bruto	gross
gentil	gentile
browning	Browning
pertinent	relevant
minge	ball (especially a soft one)
introduce	to insert
introduce	to establish, enact
discredit	disrepute
certa	to quarrel, squabble, argue, altercate, row, argufy, wrangle, fall out with someone
certa	to scold, chide, rebuke, reprove, reprehend
lucid	, clear-sighted
caftan	kaftan, mantle
plebe	plebs, the common people, commonality, commoners, the lower orders
dulce	sweet
toc	doorframe
economic	economical
merge	to walk
merge	to move
merge	to go
animare	animation
holding	holding company
construire	construction
alt	other, another
radere	shaving
numeric	numerical
ungere	lubrication
fenil	phenyl
origine	origin
forma	to form, to create, to make
forma	to form, to make up
fagot	bassoon
mor	sound made by a bear
negri	to blacken
fecund	fruitful
matura	to mature
rebus	, crossword
coincidere	coincidence
rai	paradise
prat	hayfield
prat	meadow
facilitate	facility
mina	to mine
mina	to undermine
-re	; -ing, -ation
heterocerc	heterocercal
incapacitate	incapacity
octan	octane
convenire	agreement
perplex	perplexed
ieri	yesterday
arsenal	, armoury
toi	the culminating point
toi	center, heart
toi	scuffle, struggle, scramble
gal	unit of measurement of acceleration, equal to 1 centimeter per second squared
stria	to streak, to stripe
stimulant	stimulating
pavilion	, gazebo
mardi	To beat (someone).
tabu	taboo
carat	, karat
opt	eight
tricoter	knitter
nul	null, insignificant
nul	worthless, incompetent
nul	null, zero
foire	squirminess
tragic	tragical
revolver	, pistol
cosa	spit, sandbank
trop	trope
ricin	castor oil plant
optimist	optimistic
orator	, speaker
fut	: I fuck
fut	: they fuck
gol	empty
gol	naked
gol	hollow
ontic	octic
dextra	dexter
nutriment	nutrient
trivial	common, ordinary
trivial	obscene, indecent
fora	to drill
portar	gatekeeper, doorkeeper, doorman, porter, door-guard
portar	goalkeeper, goalie
insert	, insertion
dop	cork (of a bottle), stopper
libera	to free, liberate
libera	to transfer a soldier to the reserves or away from active duty, or let him go home
notar	notary
copia	to copy
copia	to cheat on a test
mais	maize, corn
absenta	to be absent, to not be present
graham	bread
tactic	tactical
bordel	bordello, brothel
invitare	invitation
prohibit	prohibited
agam	agamous, agamic
acu	now; at present
agat	agate
aici	hither, to here
jurat	vowed, swore
jurat	juror, member of a jury
respiro	respite
glas	voice
glas	mode of Orthodox chant, of which there are eight
glas	words, speech
debut	outbreak
consistent	solid
anemia	to make, or to become anemic
marea	: the sea
marea	: the sea
inform	deformed
vor	(they) will
racket	racketeer
parking	parking lot
implicit	tacit
cardie	cardia
colonel	glyph
sapient	learned, wise
dac	Dacian
dac	Dacian person
gustar	August (eighth month of the Gregorian calendar)
verde	green
verde	green
verde	green, marijuana
Vatican	the Vatican
ventilator	, fan
fumar	chimney
veteran	(person who has served in the armed forces, or figuratively a person with a long experience of a particular activity; also used in the context of Ancient Rome, referring to a freed soldier granted citizenship and privileges for his service)
duplicare	replication, reproduction
ambient	ambiance, atmosphere, environment
videodisc	/ videodisk
timid	, shy
ulterior	later, subsequent
ultra	, extreme
curvar	libertine, lecher, rake, immoral womanizer, whoremonger, adulterer
clon	clone
grad	degree (unit of measurement for temperature)
tuli	to come down the mountainside
tuli	to swipe
tuli	to hide out
salve	welcome!, greetings!, cheerio!
salve	so long!, bye-bye!
potasiu	potassium
kaliu	potassium
prestidigitator	conjurer, magician
zarpa	brocade
zombi	zombie
holdup	hold-up, armed robbery
ordine	order
ordine	order
ordine	order
untar	butter maker
ud	moist
ud	urine
intransigent	uncompromising
lector	lecturer
respingere	rejection
universalmente	universally
respirare	breathing
incomplet	partially
incomplet	incomplete
profil	profile
autonom	autonomous
terminus	terminus
italic	Italic
primo	firstly, first
prima	to prevail, to take precedent
ulcus	sore, ulcer, wound
benjamin	youngest child (in a family)
maxim	maximum
maxim	maximum
parte	portion, section, piece, share
gaga	(senile)
evitare	avoidance
centra	to center
ping-pong	ping pong
fumare	smoking
util	helpful
util	useful
experimental	experiential
best-seller	bestseller
sarcastic	sarcastically
cercare	investigation
ie	traditional Romanian embroidered blouse
ie	the lower part of the abdomen or belly, especially in animals such as livestock
ie	the skin that hangs down from the belly of an ox
vas	vessel (including blood vessels), general term for receptacle or container (such as a bowl, basin, dish, bucket, etc.)
vas	watercraft
incognito	unknown
incognito	unknown
credere	belief
creare	creation
carcinogen	carcinogenic
armament	weaponry
coi	ball(s)
zeros	wheyey
rosbif	roast beef
signora	madam
emigrare	emigration
deponent	depositor
script	(of a film, play, show, etc.)
principe	prince
pix	ballpoint pen
celebrare	celebration
cringe	cringe
traduce	to translate
foton	photon
murmurare	murmuring
elefant	elephant
alfa	alpha
unire	union
unire	unity
saxofon	saxophone
induce	to , incite, cause or push to do something
studia	to study
studia	to study
studia	to study, research
amator	amateur
translunar	translunary
diplomat	having a diploma or a degree
chinez	Chinese
chinez	a male Chinese person
chinez	a prince
transpacific	a large ship that crosses the Pacific Ocean
servitor	servant, attendant, domestic, retainer, manservant
pelargonie	pelargonium
brelan	Three of a kind, gleek
bis	, encore, repeat
invalid	crippled, disabled
invalid	cripple, disabled person
persan	Persian
persan	a Persian man
tins	extended, stretched
tins	smooth, flat, even
juvenil	juvenile
juvenil	teenage
nichel	nickel
vida	to empty
vida	to make a vacuum
vivace	vivacious
demonic	, devilish
performant	efficient, effective,
tête-à-tête	, head-to-head
absint	absinthe
contaminant	contaminate
fini	to finish
sens	sense, meaning
sens	reason, logic
sens	direction
trai	living
reverie	, any form of dreaming (e.g. daydreaming, dreaming, and thinking)
lege	religion, belief (in God or a divinity), credence
gravitate	gravity
interpret	interpreter
traducere	translation
filatelist	philatelist
servire	service
divers	various, diverse, varied
diamant	diamond
biter	bitters
paramedic	paramedical
fie	daughter
degrade	color gradient
genial	ingenious, characteristic of a genius
genial	great, fantastic, awesome
ev	age, era, period
ev	century
tumid	, inflated, swollen
cimbal	cymbal
simbol	symbol
timpan	eardrum
rond	round
rond	round
bleg	soft, shy, silly, dull, weak, foolish, sheepish
bleg	going down, droopy
chips	chip (American English), crisp (British English)
remanent	residual
blestema	to curse; to shame
blestema	to damn
blestema	to swear; to blaspheme
blestem	curse
gospodin	master
lipa	the sound of an animal (like a cat or a dog) slurping water
sili	to force someone
sili	to try one's best
antiseptic	, germicide
tanga	To sway back and forth.
monument	memorial
protector	protective
secretariat	; office
agita	to agitate
referent	consultant, advisor
ilegal	illegal, unlawful
dolor	pain, ache
stat	state, government
stat	state, condition
stat	situation, position
urma	to follow
urma	to follow
urma	to follow
electronvolt	electron volt
citi	to read
danci	Roma child
condiment	spice
finit	ended, terminated
animat	animated
opis	inventory
traductor	transmitter
traductor	transductor
foi	to fuss, bustle, move about
foi	to be full of people who are busy, teem with
castor	beaver
Altar	Ara (constellation)
Apple	The company , a technology company with as CEO.
Ester	. Merged with , which was then renamed to .
Mina	the name of a Christian Orthodox saint, whose feast day is November 11
Scorpion	Scorpio
conduce	to rule, lead
conduce	to drive a vehicle
conduce	to lead
maori	Maori
oman	inula, elecampane ( spp., especially )
pr	the sound of an object cracking
maria	to marry
maria	to be fitting
polen	pollen (fine granular substance produced in flowers)
papua	Papuan
familie	family
butan	butane
bristol	Bristol board
german	German
german	a German person
alvin	alvine
arie	threshing floor
arie	area, surface, zone
arie	melody, tune
quechua	Quechua
quechua	Quechua
italian	Italian (of, from, or pertaining to Italy, the Italian people or the Italian language)
italian	an Italian man
june	young
june	youth, young man, bachelor
adonis	Adonis
marxism	Marxism
cina	to dine, sup, have dinner
metis	, half-breed
american	American
american	an American man
proteja	to protect
fijian	Fijian
fijian	Fijian
crea	to create
germanic	Germanic
calic	cripple
mediator	, intermediary
koine	, lingua franca
ivorian	Ivorian
ivorian	Ivorian
khmer	Khmer
breton	bangs, fringe
vomer	, vomer bone
jovial	jocose
occitan	Occitan
tunde	to crop, shear, clip, trim, prune, mow
tunde	to cut or trim hair
tunde	to cut one's hair
mie	thousand
mie	(to) me
maus	mouse
venusian	Venusian
viking	Viking
tuvaluan	Tuvaluan
tuvaluan	Tuvaluan
andrea	knitting needle
andrea	December
jura	to swear; to vow
jura	to swear up and down
canadian	Canadian
canadian	Canadian man
cupid	greedy
nauruan	Nauruan
nauruan	Nauruan
somnolent	sleepy
brazilian	Brazilian
brazilian	Brazilian
unilateral	Binding or affecting one party only.
asturian	Asturian
asturian	Asturian person
haz	humor
zulu	Zulu language
exigent	demanding
mormon	Mormon (of or pertaining to Mormons, the Mormon faith or the Mormon culture)
mormon	Mormon
unghie	nail, fingernail, toenail
prognostic	prognosis (all meanings)
Neptun	Neptune
Neptun	Neptune
islam	Islam
islamic	Islamic
hindi	Hindi
consult	consultation
injuria	to insult
navigator	browser
uric	hereditary privilege
eres	heresy
eres	belief in supernatural forces, superstition
rapt	kidnapping, abduction
balsam	unction, balm, salve, unguent
continuare	continuation
automobil	automobile
cuban	Cuban
flautist	flutist
trece	to pass through
trece	to pass by
trece	to have passed something
contra	against, versus
contra	against, opposed to, opposite
contra	in exchange for
hram	church (service)
hram	temple
hram	parish fair, dedication day, celebration in honor of a patron saint of a church, kermis
gnostic	Gnostic; of or pertaining to Gnosticism
gnostic	a Gnostic; an adherent of Gnosticism
perigon	perigonium
celt	Celtic
urbanism	, urban planning
urbanist	urban planner,
autostop	hitchhiking
reporter	, journalist
incubare	incubation
jugar	of a yoke, good or fitting for a yoke
jugar	a yoked ox
expo	exposition
graf	graph
graf	count
aman	have mercy!
caca	poop, poo
caca	something dirty
CFR	: the state railway carrier of Romania.
NMS	: ; the generic ship prefix used for military ships of a royal kingdom, or generic translation of a country's HMS ship prefix without specification of which kingdom.
preambular	preambulary
nat	person, individual
nat	kinsman, relative
kenyan	Kenyan
kenyan	Kenyan
semiautomatic	semi-automatic
soc	elder
tampon	buffer
vagon	wagon
vagon	carriage, coach
cert	certain, sure, doubtless
sentiment	, thought, sense, feeling
sentiment	belief, opinion
maxi	maximum
infarct	heart attack
cerca	to examine, inspect, analyze, study
cerca	to search, ask, take interest in
bestial	, animal
papir	paper
tavan	ceiling
tavan	ceiling, roof (upper part of a cavity)
vinograd	vinaigrette
curie	curia
vise	dream on! in your dreams!
röntgen	X-ray
parlament	parliament
congener	congeneric
ura	to wish, bid
ura	to congratulate
ura	to go house to house reciting songs on New Year's
sudor	welder
temperamental	, moody
separat	separated
ori	either
ori	while, whereas, on the other hand, on the contrary
balet	ballet
ivrit	Hebrew language
sabat	Sabbath
brahman	brahmin
frivol	frivolous
pian	piano
calma	to calm
calma	to calm oneself, calm down, settle down
ne-	un-; de-
vig	bolt of fabric
har	grace
artic	complaint, grievance
infect	revolting, disgusting
infect	vile, loathsome
detector	detecter
leat	being of the same age
leat	recruit
malefic	maleficent, malevolent, fatal, harmful
lumpen	lumpenproletarian
alem	Ottoman flag
bre	hey, dude
bolivian	Bolivian
bolivian	Bolivian
otac	fenced area for animals
otac	temporary hut for agricultural workers, fishers, animal herders
Hristos	Christ
cuter	cutter
de la	from, since
carota	to cheat, to extort
encomiastic	eulogistic, laudatory
textual	verbatim
textualism	textualism
verso	, back
maoism	Maoism
uns	covered with a fatty substance
uns	anointed
dep	fallow land
algerian	Algerian
algerian	Algerian man
voire	will (volition)
griza	to get tipsy
mixer	blender
cras	crass
aut	ball out of play
mic	little, small
mic	little boy, child, toddler, tyke, baby
mic	a dish from Romanian cuisine, consisting of a grilled ground meat roll in cylindrical shape made from a mixture of beef, lamb and pork with spices
terme	thermae
satiric	satirical
filum	phylum
vai	alas, woe
teme	to fear
lunatic	somnambulist, sleepwalker
lunatic	dullard, fool, scatterbrain
lunatic	born in the same month as another
insolvent	bankrupt
grava	to engrave
gigant	giant
beri-beri	beriberi
seta	to set, to configure
rug	bramble
rug	dog rose
abandona	to abandon
